City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
275,minbu,20.1833,94.8833,26.08,87,100,5.29,MM,1721759661
276,damavand,35.7178,52.065,23.71,31,0,0.63,IR,1721759662
277,zaigrayevo,51.8336,108.2703,15.67,99,83,0.49,RU,1721759664
278,gwaram,11.2764,9.8858,25.33,80,98,1.41,NG,1721759665
279,warren,39.4334,-84.1666,30.45,60,0,4.63,US,1721759453
280,kralendijk,12.15,-68.2667,31.99,66,40,8.23,BQ,1721759667
281,morehead city,34.7229,-76.726,31.11,82,0,5.66,US,1721759668
282,kabo,7.6994,18.629,23.85,81,76,0.91,CF,1721759670
283,labuan,5.2767,115.2417,28.2,89,20,2.06,MY,1721759671
284,lubang,13.8584,120.124,28.24,82,100,12.63,PH,1721759672
285,eastham,41.8301,-69.9739,23.92,83,75,3.6,US,1721759673
286,buturlino,55.5667,44.8974,14.46,70,3,1.2,RU,1721759674
287,port alfred,-33.5906,26.891,15.22,60,0,3.72,ZA,1721759675
288,novoleushkovskaya,45.9956,39.9921,20.99,91,35,1.55,RU,1721759677
289,nadi,-17.8,177.4167,23.0,73,40,4.63,FJ,1721759678
290,jurm,36.8648,70.8342,19.84,43,0,1.25,AF,1721759679
291,vadso,70.0744,29.7487,26.49,56,0,3.09,NO,1721759680
292,murray bridge,-35.1167,139.2667,14.08,55,100,5.08,AU,1721759681
293,lompoc,34.6391,-120.4579,27.69,60,0,5.66,US,1721759617
294,tezu,27.9167,96.1667,24.15,98,100,0.84,IN,1721759684
295,yuzhno-kurilsk,44.0306,145.8556,17.29,100,100,3.11,RU,1721759685
296,presidente medici,-11.1753,-61.9014,36.27,15,14,1.57,BR,1721759686
297,porto novo,6.4965,2.6036,25.9,82,28,4.07,BJ,1721759687
298,cobija,-11.0267,-68.7692,34.1,46,20,3.09,BO,1721759689
299,la passe,45.5549,-0.8967,26.13,85,0,4.14,FR,1721759690
300,buga,3.9009,-76.2978,27.84,51,99,0.71,CO,1721759691
